country_code,country_name,income_group,region,n_years_total,n_years_observed,pct_missing,keep_country
VIR,Virgin Islands (U.S.),High income,Latin America & Caribbean,34,0,1.0,false
ABW,Aruba,High income,Latin America & Caribbean,34,0,1.0,false
MAC,"Macao SAR, China",High income,East Asia & Pacific,34,0,1.0,false
CUW,Curacao,High income,Latin America & Caribbean,34,0,1.0,false
NCL,New Caledonia,High income,East Asia & Pacific,34,0,1.0,false
GUM,Guam,High income,East Asia & Pacific,34,0,1.0,false
BMU,Bermuda,High income,North America,34,0,1.0,false
SXM,Sint Maarten (Dutch part),High income,Latin America & Caribbean,34,0,1.0,false
GIB,Gibraltar,High income,Europe & Central Asia,34,0,1.0,false
CHI,Channel Islands,High income,Europe & Central Asia,34,0,1.0,false
GRL,Greenland,High income,Europe & Central Asia,34,0,1.0,false
PYF,French Polynesia,High income,East Asia & Pacific,34,0,1.0,false
LIE,Liechtenstein,High income,Europe & Central Asia,34,0,1.0,false
ASM,American Samoa,High income,East Asia & Pacific,34,0,1.0,false
MNP,Northern Mariana Islands,High income,East Asia & Pacific,34,0,1.0,false
HKG,"Hong Kong SAR, China",High income,East Asia & Pacific,34,0,1.0,false
FRO,Faroe Islands,High income,Europe & Central Asia,34,0,1.0,false
CYM,Cayman Islands,High income,Latin America & Caribbean,34,0,1.0,false
MAF,St. Martin (French part),High income,Latin America & Caribbean,34,0,1.0,false
PRI,Puerto Rico (US),High income,Latin America & Caribbean,34,0,1.0,false
IMN,Isle of Man,High income,Europe & Central Asia,34,0,1.0,false
GNB,Guinea-Bissau,Low income,Sub-Saharan Africa,34,34,0.0,true
YEM,"Yemen, Rep.",Low income,Middle East & North Africa,34,34,0.0,true
BEL,Belgium,High income,Europe & Central Asia,34,34,0.0,true
BGR,Bulgaria,High income,Europe & Central Asia,34,34,0.0,true
BOL,Bolivia,Lower middle income,Latin America & Caribbean,34,34,0.0,true
CPV,Cabo Verde,Upper middle income,Sub-Saharan Africa,34,34,0.0,true
DNK,Denmark,High income,Europe & Central Asia,34,34,0.0,true
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,34,34,0.0,true
GNQ,Equatorial Guinea,Upper middle income,Sub-Saharan Africa,34,34,0.0,true
HRV,Croatia,High income,Europe & Central Asia,34,34,0.0,true
MDA,Moldova,Upper middle income,Europe & Central Asia,34,34,0.0,true
MUS,Mauritius,Upper middle income,Sub-Saharan Africa,34,34,0.0,true
RWA,Rwanda,Low income,Sub-Saharan Africa,34,34,0.0,true
NER,Niger,Low income,Sub-Saharan Africa,34,34,0.0,true
NOR,Norway,High income,Europe & Central Asia,34,34,0.0,true
QAT,Qatar,High income,Middle East & North Africa,34,34,0.0,true
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,34,34,0.0,true
ARE,United Arab Emirates,High income,Middle East & North Africa,34,34,0.0,true
CIV,Cote d'Ivoire,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
SSD,South Sudan,Low income,Sub-Saharan Africa,34,34,0.0,true
GRD,Grenada,Upper middle income,Latin America & Caribbean,34,34,0.0,true
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,34,34,0.0,true
LUX,Luxembourg,High income,Europe & Central Asia,34,34,0.0,true
MCO,Monaco,High income,Europe & Central Asia,34,34,0.0,true
PAN,Panama,High income,Latin America & Caribbean,34,34,0.0,true
TUN,Tunisia,Lower middle income,Middle East & North Africa,34,34,0.0,true
GTM,Guatemala,Upper middle income,Latin America & Caribbean,34,34,0.0,true
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,34,34,0.0,true
CMR,Cameroon,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
EGY,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,34,34,0.0,true
ISL,Iceland,High income,Europe & Central Asia,34,34,0.0,true
KEN,Kenya,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
KWT,Kuwait,High income,Middle East & North Africa,34,34,0.0,true
LBY,Libya,Upper middle income,Middle East & North Africa,34,34,0.0,true
LSO,Lesotho,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
MHL,Marshall Islands,Upper middle income,East Asia & Pacific,34,34,0.0,true
OMN,Oman,High income,Middle East & North Africa,34,34,0.0,true
SWZ,Eswatini,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
TCD,Chad,Low income,Sub-Saharan Africa,34,34,0.0,true
TJK,Tajikistan,Lower middle income,Europe & Central Asia,34,34,0.0,true
USA,United States,High income,North America,34,34,0.0,true
UZB,Uzbekistan,Lower middle income,Europe & Central Asia,34,34,0.0,true
VNM,Viet Nam,Lower middle income,East Asia & Pacific,34,34,0.0,true
SUR,Suriname,Upper middle income,Latin America & Caribbean,34,34,0.0,true
BDI,Burundi,Low income,Sub-Saharan Africa,34,34,0.0,true
ECU,Ecuador,Upper middle income,Latin America & Caribbean,34,34,0.0,true
CYP,Cyprus,High income,Europe & Central Asia,34,34,0.0,true
FRA,France,High income,Europe & Central Asia,34,34,0.0,true
HTI,Haiti,Lower middle income,Latin America & Caribbean,34,34,0.0,true
HUN,Hungary,High income,Europe & Central Asia,34,34,0.0,true
ITA,Italy,High income,Europe & Central Asia,34,34,0.0,true
MDV,Maldives,Upper middle income,South Asia,34,34,0.0,true
MLT,Malta,High income,Middle East & North Africa,34,34,0.0,true
MYS,Malaysia,Upper middle income,East Asia & Pacific,34,34,0.0,true
NGA,Nigeria,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
PRK,"Korea, Dem. People's Rep.",Low income,East Asia & Pacific,34,34,0.0,true
PRY,Paraguay,Upper middle income,Latin America & Caribbean,34,34,0.0,true
CHN,China,Upper middle income,East Asia & Pacific,34,34,0.0,true
ROU,Romania,High income,Europe & Central Asia,34,34,0.0,true
STP,Sao Tome and Principe,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
TCA,Turks and Caicos Islands,High income,Latin America & Caribbean,34,34,0.0,true
TUR,Turkiye,Upper middle income,Europe & Central Asia,34,34,0.0,true
BHS,"Bahamas, The",High income,Latin America & Caribbean,34,34,0.0,true
BWA,Botswana,Upper middle income,Sub-Saharan Africa,34,34,0.0,true
LVA,Latvia,High income,Europe & Central Asia,34,34,0.0,true
NLD,Netherlands,High income,Europe & Central Asia,34,34,0.0,true
SLV,El Salvador,Upper middle income,Latin America & Caribbean,34,34,0.0,true
TTO,Trinidad and Tobago,High income,Latin America & Caribbean,34,34,0.0,true
AFG,Afghanistan,Low income,Middle East & North Africa,34,34,0.0,true
BEN,Benin,Lower middle income,Sub-Saharan Africa,34,34,0.0,true
COG,"Congo, Rep.",Lower middle income,Sub-Saharan Africa,34,34,0.0,true
