Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,76.5
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.71303052,62.16798132,62.5912751,63.33069136,63.85726128,63.766484,62.97999919,64.48715179,65.14622792,65.34993047
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,66.289
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.03851892,56.39259824,56.62662156,57.03710429,57.14995634,57.36473597,57.36273613,57.98784994,58.85573981,59.04981109
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,64.805
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,79.776
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,84.188
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65801237,70.89648812,71.11285601,71.43129979,71.83989327,70.72655881,70.40411449,71.8760956,72.44467836,72.72180503
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.076,82.195,82.388,82.449,82.596,81.936,79.083,80.487,82.909,83.069
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,77.543
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122,73.37560976,72.27804878,74.76585366,77.46585366,78.3195122
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,72.992
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,77.766
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,83.05121951,83.05121951
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,81.1902439,81.29512195,81.79268293,81.99512195
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,74.576
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.107,60.789,61.345,61.806,62.18,62.569,62.101,62.882,63.651,63.818
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195,81.7902439,81.74878049,82.4,82.3
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,60.961
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.778,59.173,59.578,59.972,60.184,60.454,60.046,60.7,61.092,61.292
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,74.93
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.35609756,71.21219512,74.16097561,75.75609756,75.76097561
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,81.423
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,74.71
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.073,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85,78.044
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.13856098,72.07146341,74.10336585,74.18378049,74.36534146
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,73.739
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,82.49
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.205,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581,68.739
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,76.023
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.055,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,76.332
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,75.501
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,73.262
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.215,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163,69.293
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.934,50.999,45.231,52.297,31.53,50.596,40.279,18.818,57.408,57.671
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.82585366,81.94,81.80780488,81.80365854,82.15853659,81.53,81.45146341,81.09487805,81.62634146,82.10804878
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.57551198,76.97030623,76.92978872,76.97643808,77.26591419,76.01627013,74.72328279,76.65229873,77.75803847,77.91809515
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.89756098,83.60243902,83.55121951,83.75365854,83.90487805,83.0,83.75121951,83.60487805,84.15609756,84.40731707
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4,81.2,81.0,81.1,81.2,80.9,80.3,81.0,81.1,81.2
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.008,80.295,80.61,80.559,80.324,79.349,78.876,79.176,81.167,81.359
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,78.017
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.281,58.814,59.315,59.795,60.274,60.14,60.29,61.562,61.944,62.11
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.687,60.293,60.817,61.189,61.695,61.674,61.146,62.443,63.7,63.968
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.658,59.081,59.495,59.926,60.242,60.428,60.044,60.979,61.895,62.074
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.662,63.911,64.203,64.472,63.152,64.391,64.192,65.0,65.772,66.001
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.067,76.228,76.418,76.579,76.793,74.757,72.698,76.508,77.725,77.913
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.473,64.792,65.127,65.401,65.662,65.756,65.201,66.481,66.777,67.023
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.096,74.35,74.71,74.84,75.449,73.818,74.424,75.907,76.059,76.224
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.407,79.988,79.994,80.09,80.296,79.725,78.05,79.316,80.799,80.996
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.86410217,72.05163612,72.17310416,72.2210854,72.12926048,71.93943593,69.92281075,72.83229211,73.171645,73.31266713
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.745,77.571,77.3,77.426,77.413,77.407,73.201,77.629,78.085,78.264
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.482,76.322,76.423,76.493,76.492,76.501,75.686,76.729,76.8,76.989
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.119,78.367,78.615,78.835,79.052,79.23,79.3,79.984,80.358,80.54
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.464,81.534,81.543,81.556,81.454,81.23,80.573,80.434,81.648,81.821
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.57804878,79.02682927,78.97804878,79.02926829,79.22926829,78.22682927,77.22195122,78.92926829,79.82682927,79.97804878
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.7902439,80.60804878,81.04146341,80.79268293
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.833,63.335,63.71,64.105,64.381,64.2,63.83,65.54,65.987,66.202
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.968,71.189,68.62,71.378,71.305,71.269,69.832,71.081,71.132,71.294
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.70243902,80.85365854,81.10243902,80.95365854,81.45121951,81.60243902,81.40487805,81.30487805,81.75365854,82.25365854
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.982,72.889,73.37,73.555,73.112,72.636,71.757,74.211,73.72,73.868
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,76.475
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.95112438,75.15591177,75.23967149,75.57828618,75.76896903,75.69763933,75.27814184,75.93254094,75.88068309,75.95931617
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.63054844,69.94848371,70.27299494,70.54866599,70.84240646,69.88013085,68.17909948,71.43045525,71.79624498,72.0080315
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.79260102,75.98701667,76.07899236,76.39142294,76.5862413,76.54339469,76.15294132,76.67671671,76.65720211,76.73789488
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.75540826,74.03137691,74.4033539,74.59279892,74.81583406,73.55368687,72.88237621,74.57316842,74.79018877,75.14249803
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.33093841,77.68128166,77.89901517,78.0318406,78.30387161,77.1754906,76.72864297,77.83445225,78.3911328,78.59868511
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.222,76.094,76.22,77.248,77.286,72.004,72.746,76.577,77.392,77.579
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.135,70.437,70.709,70.974,71.213,69.79,68.976,71.01,71.633,71.806
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.51926968,81.90745542,81.88380371,82.00276026,82.28042116,81.48735717,81.58393304,81.62297191,82.25552071,82.36584186
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.909,66.242,66.612,66.979,67.306,66.98,66.94,67.789,68.624,68.893
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732,82.23170732,83.17804878,83.13414634,83.93414634,83.88780488
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195,76.94390244,77.84390244,78.79268293,79.29512195
