country_name,country_code,first_year,last_year,n_years,missing_years_1990_2023,avg_life_exp
Afghanistan,AFG,1990,2023,34,0,57.53411764705883
Africa Eastern and Southern,AFE,1990,2023,34,0,56.81038658558823
Africa Western and Central,AFW,1990,2023,34,0,53.04446469941177
Albania,ALB,1990,2023,34,0,76.47020588235294
Algeria,DZA,1990,2023,34,0,72.2865588235294
American Samoa,ASM,1990,2023,34,0,72.11791176470588
Andorra,AND,1990,2023,34,0,82.5870294117647
Angola,AGO,1990,2023,34,0,53.455558823529415
Antigua and Barbuda,ATG,1990,2023,34,0,75.63876470588235
Arab World,ARB,1990,2023,34,0,68.25111416117647
Argentina,ARG,1990,2023,34,0,74.72385294117646
Armenia,ARM,1990,2023,34,0,72.37972309911764
Aruba,ABW,1990,2023,34,0,73.99585294117647
Australia,AUS,1990,2023,34,0,80.61289813470589
Austria,AUT,1990,2023,34,0,79.35014347235294
Azerbaijan,AZE,1990,2023,34,0,67.93376470588235
"Bahamas, The",BHS,1990,2023,34,0,72.80932352941176
Bahrain,BHR,1990,2023,34,0,76.86179411764705
Bangladesh,BGD,1990,2023,34,0,65.41567647058822
Barbados,BRB,1990,2023,34,0,75.12432352941175
Belarus,BLR,1990,2023,34,0,70.70242754647059
Belgium,BEL,1990,2023,34,0,79.23348636970589
Belize,BLZ,1990,2023,34,0,70.54867647058825
Benin,BEN,1990,2023,34,0,57.53997058823529
Bermuda,BMU,1990,2023,34,0,78.71050000000001
Bhutan,BTN,1990,2023,34,0,65.86714705882353
Bolivia,BOL,1990,2023,34,0,63.645941176470586
Bosnia and Herzegovina,BIH,1990,2023,34,0,74.06911764705882
Botswana,BWA,1990,2023,34,0,58.88179411764706
Brazil,BRA,1990,2023,34,0,71.69594117647058
British Virgin Islands,VGB,1990,2023,34,0,75.39332352941176
Brunei Darussalam,BRN,1990,2023,34,0,74.11423529411765
Bulgaria,BGR,1990,2023,34,0,72.83194404470589
Burkina Faso,BFA,1990,2023,34,0,54.522735294117645
Burundi,BDI,1990,2023,34,0,53.48091176470588
Cabo Verde,CPV,1990,2023,34,0,70.43935294117648
Cambodia,KHM,1990,2023,34,0,63.86120588235294
