country_code,country_name,region,income_group,year,u5_mort,is_outlier,life_exp,gdp,adol_fert
AFG,Afghanistan,Middle East & North Africa,Low income,2015,71.9,False,62.27,565.569730408751,81.043
AFG,Afghanistan,Middle East & North Africa,Low income,2016,69.4,False,62.646,563.872336723147,78.13
AFG,Afghanistan,Middle East & North Africa,Low income,2017,67.1,False,62.406,562.769574140988,75.3
AFG,Afghanistan,Middle East & North Africa,Low income,2018,64.8,False,62.443,553.125151688293,73.021
AFG,Afghanistan,Middle East & North Africa,Low income,2019,62.7,False,62.941,557.861533207459,70.967
AFG,Afghanistan,Middle East & North Africa,Low income,2020,60.7,False,61.454,527.834554499306,68.877
AFG,Afghanistan,Middle East & North Africa,Low income,2021,58.7,False,60.417,408.625855217403,66.599
AFG,Afghanistan,Middle East & North Africa,Low income,2022,56.8,False,65.617,377.665627080705,65.339
AFG,Afghanistan,Middle East & North Africa,Low income,2023,54.9,False,66.035,378.06630312259,64.068
AGO,Angola,Sub-Saharan Africa,Lower middle income,2015,61.8,False,61.042,3641.72893919944,150.244
AGO,Angola,Sub-Saharan Africa,Lower middle income,2016,59.6,False,61.619,3454.03317187119,148.905
AGO,Angola,Sub-Saharan Africa,Lower middle income,2017,57.9,False,62.122,3328.8982124109,147.407
AGO,Angola,Sub-Saharan Africa,Lower middle income,2018,56.5,False,62.622,3196.79006983557,146.305
AGO,Angola,Sub-Saharan Africa,Lower middle income,2019,55.3,False,63.051,3083.97534427357,145.094
AGO,Angola,Sub-Saharan Africa,Lower middle income,2020,54.2,False,63.116,2864.16146036893,144.329
AGO,Angola,Sub-Saharan Africa,Lower middle income,2021,53.2,False,62.958,2832.81777132286,143.383
AGO,Angola,Sub-Saharan Africa,Lower middle income,2022,51.9,False,64.246,2860.90251922246,141.978
AGO,Angola,Sub-Saharan Africa,Lower middle income,2023,50.5,False,64.617,2809.15727975557,140.84
ALB,Albania,Europe & Central Asia,Upper middle income,2015,9.6,False,78.358,4199.53912925398,20.656
ALB,Albania,Europe & Central Asia,Upper middle income,2016,9.4,False,78.643,4431.55635814168,18.518
ALB,Albania,Europe & Central Asia,Upper middle income,2017,9.3,False,78.9,4648.23078660658,16.778
ALB,Albania,Europe & Central Asia,Upper middle income,2018,9.3,False,79.238,4893.82375538717,15.456
ALB,Albania,Europe & Central Asia,Upper middle income,2019,9.4,False,79.467,5072.43648354739,14.949
ALB,Albania,Europe & Central Asia,Upper middle income,2020,9.4,False,77.824,4980.61699524696,14.004
ALB,Albania,Europe & Central Asia,Upper middle income,2021,9.5,False,76.844,5511.75743402862,13.002
ALB,Albania,Europe & Central Asia,Upper middle income,2022,9.4,False,78.769,5867.65096230557,12.827
ALB,Albania,Europe & Central Asia,Upper middle income,2023,9.4,False,79.602,6198.17195301204,12.789
AND,Andorra,Europe & Central Asia,High income,2015,3.5,False,84.532,38654.95287916,4.936
AND,Andorra,Europe & Central Asia,High income,2016,3.4,False,84.489,40085.0394278177,4.576
AND,Andorra,Europe & Central Asia,High income,2017,3.2,False,84.359,39361.0807539996,4.326
AND,Andorra,Europe & Central Asia,High income,2018,3.1,False,84.242,39242.1633307803,3.832
AND,Andorra,Europe & Central Asia,High income,2019,3.0,False,84.098,39346.2935180487,3.526
AND,Andorra,Europe & Central Asia,High income,2020,2.9,False,79.418,34536.666145207,3.119
AND,Andorra,Europe & Central Asia,High income,2021,2.8,False,82.331,36929.0364995869,3.5
AND,Andorra,Europe & Central Asia,High income,2022,2.7,False,84.016,39780.4152991834,3.527
AND,Andorra,Europe & Central Asia,High income,2023,2.6,False,84.041,40227.2524257376,3.48
ARE,United Arab Emirates,Middle East & North Africa,High income,2015,7.6,False,82.076,44910.334995523,5.432
ARE,United Arab Emirates,Middle East & North Africa,High income,2016,7.3,False,82.195,45168.4982473243,4.598
ARE,United Arab Emirates,Middle East & North Africa,High income,2017,7.0,False,82.388,43293.0203824801,4.547
ARE,United Arab Emirates,Middle East & North Africa,High income,2018,6.7,False,82.449,43377.7858697225,3.74
ARE,United Arab Emirates,Middle East & North Africa,High income,2019,6.3,False,82.596,43468.4586811918,3.292
ARE,United Arab Emirates,Middle East & North Africa,High income,2020,5.9,False,81.936,39878.474427695,3.032
ARE,United Arab Emirates,Middle East & North Africa,High income,2021,5.6,False,79.083,40935.8936567784,2.563
ARE,United Arab Emirates,Middle East & North Africa,High income,2022,5.3,False,80.487,41828.5553298104,2.879
ARE,United Arab Emirates,Middle East & North Africa,High income,2023,5.0,False,82.909,41926.5823645673,3.103
ARG,Argentina,Latin America & Caribbean,Upper middle income,2015,11.7,False,76.6,13679.6264980954,63.879
ARG,Argentina,Latin America & Caribbean,Upper middle income,2016,11.4,False,76.105,13265.8860639123,58.79
ARG,Argentina,Latin America & Caribbean,Upper middle income,2017,11.0,False,76.543,13520.1129846159,55.022
ARG,Argentina,Latin America & Caribbean,Upper middle income,2018,10.7,False,76.77,13058.3285449954,49.926
ARG,Argentina,Latin America & Caribbean,Upper middle income,2019,10.5,False,76.847,12706.3978108968,41.751
ARG,Argentina,Latin America & Caribbean,Upper middle income,2020,10.3,False,75.878,11393.0505957877,31.492
ARG,Argentina,Latin America & Caribbean,Upper middle income,2021,10.1,False,73.948,12549.2811699342,28.54
ARG,Argentina,Latin America & Caribbean,Upper middle income,2022,9.9,False,75.806,13276.8232110189,25.767
ARG,Argentina,Latin America & Caribbean,Upper middle income,2023,9.7,False,77.395,12993.0928872416,26.414
ARM,Armenia,Europe & Central Asia,Upper middle income,2015,14.7,False,74.87073171,3512.39350276709,25.103
ARM,Armenia,Europe & Central Asia,Upper middle income,2016,14.0,False,74.86829268,3533.88503607007,24.38
ARM,Armenia,Europe & Central Asia,Upper middle income,2017,13.3,False,75.21707317,3815.3747426037,21.153
ARM,Armenia,Europe & Central Asia,Upper middle income,2018,12.7,False,75.6195122,4027.83393010979,18.657
ARM,Armenia,Europe & Central Asia,Upper middle income,2019,12.1,False,76.22195122,4343.45839583019,16.328
ARM,Armenia,Europe & Central Asia,Upper middle income,2020,11.6,False,73.37560976,4032.09043454955,13.735
ARM,Armenia,Europe & Central Asia,Upper middle income,2021,11.0,False,72.27804878,4264.79961505187,13.66
ARM,Armenia,Europe & Central Asia,Upper middle income,2022,10.5,False,74.76585366,4791.00481712183,13.487
ARM,Armenia,Europe & Central Asia,Upper middle income,2023,10.0,False,77.46585366,5197.23509013575,13.445
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2015,11.0,False,76.892,16077.6340769406,35.946
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2016,10.8,False,76.968,16635.895232831,31.44
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2017,10.7,False,77.03,16992.9327495236,31.069
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2018,10.5,False,77.132,18042.1596435727,28.173
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2019,10.3,False,77.168,18525.2588907167,31.691
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2020,10.1,False,77.161,14950.8942397208,33.916
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2021,9.8,False,77.197,16084.7214406048,33.751
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2022,9.6,False,77.483,17456.8722243104,33.469
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2023,9.3,False,77.598,17789.4058123944,32.932
AUS,Australia,East Asia & Pacific,High income,2015,3.9,False,82.4,56970.3613028094,12.038
AUS,Australia,East Asia & Pacific,High income,2016,3.8,False,82.44878049,57632.9995925594,10.939
AUS,Australia,East Asia & Pacific,High income,2017,3.8,False,82.5,57991.771347333,10.235
AUS,Australia,East Asia & Pacific,High income,2018,3.8,False,82.74878049,58772.7063152213,9.741
AUS,Australia,East Asia & Pacific,High income,2019,3.8,False,82.9,59181.2997904131,8.763
AUS,Australia,East Asia & Pacific,High income,2020,3.8,False,83.2,58377.7670517802,7.726
AUS,Australia,East Asia & Pacific,High income,2021,3.7,False,83.3,59465.535671364,7.089
AUS,Australia,East Asia & Pacific,High income,2022,3.7,False,83.2,61200.4588964781,6.747
AUS,Australia,East Asia & Pacific,High income,2023,3.7,False,83.05121951,61869.082498576,6.715
AUT,Austria,Europe & Central Asia,High income,2015,3.7,False,81.1902439,43915.228020857,7.848
AUT,Austria,Europe & Central Asia,High income,2016,3.6,False,81.64146341,44362.6702805116,7.505
AUT,Austria,Europe & Central Asia,High income,2017,3.6,False,81.64390244,45056.6385912412,6.897
AUT,Austria,Europe & Central Asia,High income,2018,3.5,False,81.69268293,45951.5819164034,5.715
AUT,Austria,Europe & Central Asia,High income,2019,3.5,False,81.89512195,46550.5622459492,5.29
AUT,Austria,Europe & Central Asia,High income,2020,3.4,False,81.19268293,43428.6983137234,4.907
AUT,Austria,Europe & Central Asia,High income,2021,3.4,False,81.1902439,45368.6434337368,4.426
AUT,Austria,Europe & Central Asia,High income,2022,3.3,False,81.29512195,47332.4240357971,4.205
AUT,Austria,Europe & Central Asia,High income,2023,3.3,False,81.79268293,46497.9114640341,3.836
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2015,27.9,False,72.349,5500.50364628486,62.697
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2016,26.5,False,72.568,5272.71817141861,58.882
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2017,25.1,False,72.694,5229.25259993413,53.042
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2018,23.8,False,73.016,5261.92938234432,49.913
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2019,22.7,False,73.29,5346.95318604114,47.851
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2020,21.5,False,70.312,5087.50022783627,41.585
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2021,20.5,False,70.999,5349.58226071425,34.844
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2022,19.6,False,74.125,5599.58524971025,35.293
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,18.7,False,74.429,5668.61021317029,34.767
BDI,Burundi,Sub-Saharan Africa,Low income,2015,66.9,False,60.107,254.402585226788,62.718
BDI,Burundi,Sub-Saharan Africa,Low income,2016,63.7,False,60.789,258.061970808946,60.404
BDI,Burundi,Sub-Saharan Africa,Low income,2017,60.9,False,61.345,261.725839288764,58.504
BDI,Burundi,Sub-Saharan Africa,Low income,2018,58.5,False,61.806,267.508692172687,57.37
BDI,Burundi,Sub-Saharan Africa,Low income,2019,56.2,False,62.18,270.411005710809,56.534
BDI,Burundi,Sub-Saharan Africa,Low income,2020,54.3,False,62.569,263.463876356897,55.673
BDI,Burundi,Sub-Saharan Africa,Low income,2021,52.3,False,62.101,264.682651664249,54.826
BDI,Burundi,Sub-Saharan Africa,Low income,2022,50.3,False,62.882,263.587550051638,54.08
BDI,Burundi,Sub-Saharan Africa,Low income,2023,48.7,False,63.651,264.843307950214,53.364
BEL,Belgium,Europe & Central Asia,High income,2015,4.1,False,80.99268293,40893.804537772,6.659
BEL,Belgium,Europe & Central Asia,High income,2016,4.1,False,81.43902439,41172.8862831209,6.228
BEL,Belgium,Europe & Central Asia,High income,2017,4.0,False,81.49268293,41619.328629169,5.905
BEL,Belgium,Europe & Central Asia,High income,2018,4.0,False,81.59512195,42208.3625650272,5.528
BEL,Belgium,Europe & Central Asia,High income,2019,3.9,False,81.99512195,43006.4042308863,5.204
BEL,Belgium,Europe & Central Asia,High income,2020,3.9,False,80.69512195,40769.0218072962,4.884
BEL,Belgium,Europe & Central Asia,High income,2021,3.8,False,81.7902439,43140.9676652971,4.609
BEL,Belgium,Europe & Central Asia,High income,2022,3.8,False,81.74878049,44486.7438563594,4.372
