country_code,country,year,u5_mort,income_group,adol_fert,life_exp,u5_mort_lag5
AFG,Afghanistan,2020,60.7,Low income,68.877,61.454,71.9
AFG,Afghanistan,2021,58.7,Low income,66.599,60.417,69.4
AFG,Afghanistan,2022,56.8,Low income,65.339,65.617,67.1
AFG,Afghanistan,2023,54.9,Low income,64.068,66.035,64.8
AGO,Angola,2020,54.2,Lower middle income,144.329,63.116,61.8
AGO,Angola,2021,53.2,Lower middle income,143.383,62.958,59.6
AGO,Angola,2022,51.9,Lower middle income,141.978,64.246,57.9
AGO,Angola,2023,50.5,Lower middle income,140.84,64.617,56.5
ALB,Albania,2020,9.4,Upper middle income,14.004,77.824,9.6
ALB,Albania,2021,9.5,Upper middle income,13.002,76.844,9.4
ALB,Albania,2022,9.4,Upper middle income,12.827,78.769,9.3
ALB,Albania,2023,9.4,Upper middle income,12.789,79.602,9.3
AND,Andorra,2020,2.9,High income,3.119,79.418,3.5
AND,Andorra,2021,2.8,High income,3.5,82.331,3.4
AND,Andorra,2022,2.7,High income,3.527,84.016,3.2
AND,Andorra,2023,2.6,High income,3.48,84.041,3.1
ARE,United Arab Emirates,2020,5.9,High income,3.032,81.936,7.6
ARE,United Arab Emirates,2021,5.6,High income,2.563,79.083,7.3
ARE,United Arab Emirates,2022,5.3,High income,2.879,80.487,7.0
ARE,United Arab Emirates,2023,5.0,High income,3.103,82.909,6.7
ARG,Argentina,2020,10.3,Upper middle income,31.492,75.878,11.7
ARG,Argentina,2021,10.1,Upper middle income,28.54,73.948,11.4
ARG,Argentina,2022,9.9,Upper middle income,25.767,75.806,11.0
ARG,Argentina,2023,9.7,Upper middle income,26.414,77.395,10.7
ARM,Armenia,2020,11.6,Upper middle income,13.735,73.37560976,14.7
ARM,Armenia,2021,11.0,Upper middle income,13.66,72.27804878,14.0
ARM,Armenia,2022,10.5,Upper middle income,13.487,74.76585366,13.3
ARM,Armenia,2023,10.0,Upper middle income,13.445,77.46585366,12.7
ATG,Antigua and Barbuda,2020,10.1,High income,33.916,77.161,11.0
ATG,Antigua and Barbuda,2021,9.8,High income,33.751,77.197,10.8
ATG,Antigua and Barbuda,2022,9.6,High income,33.469,77.483,10.7
ATG,Antigua and Barbuda,2023,9.3,High income,32.932,77.598,10.5
AUS,Australia,2020,3.8,High income,7.726,83.2,3.9
AUS,Australia,2021,3.7,High income,7.089,83.3,3.8
AUS,Australia,2022,3.7,High income,6.747,83.2,3.8
AUS,Australia,2023,3.7,High income,6.715,83.05121951,3.8
AUT,Austria,2020,3.4,High income,4.907,81.19268293,3.7
AUT,Austria,2021,3.4,High income,4.426,81.1902439,3.6
AUT,Austria,2022,3.3,High income,4.205,81.29512195,3.6
AUT,Austria,2023,3.3,High income,3.836,81.79268293,3.5
AZE,Azerbaijan,2020,21.5,Upper middle income,41.585,70.312,27.9
AZE,Azerbaijan,2021,20.5,Upper middle income,34.844,70.999,26.5
AZE,Azerbaijan,2022,19.6,Upper middle income,35.293,74.125,25.1
AZE,Azerbaijan,2023,18.7,Upper middle income,34.767,74.429,23.8
